Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3
Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V)
-2.79E-14,2.79E-14,0.7,-2.79E-04,24.1,9.7,26.9,11.9,-4.68E-14,4.68E-14,1.2,-4.68E-04,23.9,9.9,27,12.4,1,9.00E-14,0.4,-9.00E-04,22.9,10.8,26.3,11.9
-3.14E-14,3.14E-14,1,-3.14E-04,33.8,11.2,38.8,11.5,-4.84E-14,4.84E-14,1.3,-4.84E-04,33.8,11.4,39.4,11.4,1.2,9.57E-14,0.4,-9.57E-04,33.7,11.8,38.2,11.4
-2.99E-14,2.99E-14,1.2,-2.99E-04,45,11.5,50.3,12.2,-4.38E-14,4.38E-14,1.6,-4.38E-04,45.2,11.6,50.8,11.7,1.3,9.43E-14,0.4,-9.43E-04,45.5,10.6,49.6,11.8
-2.47E-14,2.47E-14,1.5,-2.47E-04,56.5,11.8,62.5,11.4,-4.82E-14,4.82E-14,2,-4.82E-04,56.8,11.6,62.5,11.8,1.5,9.19E-14,0.5,-9.19E-04,56.1,11.2,61.4,11.9
-2.02E-14,2.02E-14,2,-2.02E-04,68.3,11.8,73.9,,-4.45E-14,4.45E-14,2.6,-4.45E-04,68.4,,74.3,,1.7,9.42E-14,0.5,-9.42E-04,67.3,12.2,73.3,
-2.35E-14,2.35E-14,2.1,-2.35E-04,80.1,,,,-4.44E-14,4.44E-14,2.9,-4.44E-04,,,,,1.9,9.16E-14,0.5,-9.16E-04,79.5,,,
-2.42E-14,2.42E-14,3,-2.42E-04,,,,,-4.82E-14,4.82E-14,3.4,-4.82E-04,,,,,2.1,9.57E-14,0.6,-9.57E-04,,,,
-2.20E-14,2.20E-14,3.6,-2.19E-04,,,,,-4.40E-14,4.40E-14,4.4,-4.40E-04,,,,,2.2,9.82E-14,0.6,-9.82E-04,,,,
-1.94E-14,1.94E-14,4,-1.94E-04,,,,,-4.74E-14,4.74E-14,5,-4.74E-04,,,,,2.4,8.95E-14,0.6,-8.95E-04,,,,
-1.79E-14,1.79E-14,4.2,-1.79E-04,,,,,-4.36E-14,4.36E-14,5.4,-4.36E-04,,,,,2.7,9.02E-14,0.7,-9.01E-04,,,,
-2.05E-14,2.05E-14,4.6,-2.05E-04,,,,,-4.49E-14,4.49E-14,5.5,-4.49E-04,,,,,2.9,8.67E-14,0.8,-8.67E-04,,,,
-2.35E-14,2.35E-14,5.2,-2.35E-04,,,,,-3.67E-14,3.67E-14,5.7,-3.67E-04,,,,,3.1,9.51E-14,0.8,-9.51E-04,,,,
-2.91E-14,2.91E-14,6.2,-2.91E-04,,,,,-4.18E-14,4.18E-14,6.2,-4.18E-04,,,,,3.3,9.06E-14,0.9,-9.06E-04,,,,
-2.86E-14,2.86E-14,6.8,-2.86E-04,,,,,-3.63E-14,3.63E-14,6.4,-3.63E-04,,,,,3.5,8.62E-14,0.9,-8.62E-04,,,,
-3.13E-14,3.13E-14,7.3,-3.13E-04,,,,,-4.26E-14,4.26E-14,6.7,-4.26E-04,,,,,3.7,8.87E-14,1,-8.87E-04,,,,
-2.95E-14,2.95E-14,7.8,-2.95E-04,,,,,-4.53E-14,4.53E-14,6.8,-4.53E-04,,,,,3.9,9.10E-14,1,-9.10E-04,,,,
-2.49E-14,2.49E-14,8.3,-2.49E-04,,,,,-4.40E-14,4.40E-14,7,-4.40E-04,,,,,4.1,8.97E-14,1.1,-8.97E-04,,,,
-3.23E-14,3.23E-14,8.6,-3.23E-04,,,,,-4.65E-14,4.65E-14,7.5,-4.65E-04,,,,,4.3,8.84E-14,1.1,-8.84E-04,,,,
-3.23E-14,3.23E-14,8.6,-3.23E-04,,,,,-4.89E-14,4.89E-14,7.7,-4.89E-04,,,,,4.5,9.49E-14,1.1,-9.49E-04,,,,
-2.92E-14,2.92E-14,9.3,-2.92E-04,,,,,-4.77E-14,4.77E-14,7.8,-4.77E-04,,,,,4.7,7.73E-14,1.3,-7.73E-04,,,,
