Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.56,1.33,3.370,,0.006040,1.000000E-6,1.636,0.002,0.0096119,8.000000E-6,6,0.000,0.84,,,0.000,0.84,,,0.000,0.70,,,0.000,0.71,,,0.000,0.71,,,0.000,0.71,,,0.000,0.71,,,0.000,0.71,,,0.000,0.71,,,0.000,0.66,,
0.56,1.34,3.920,,0.006104,1.000000E-6,1.630,0.002,0.0096500,9.000000E-6,7,0.010,0.16,-35.13,,0.010,0.16,-35.10,,0.010,0.70,-0.03,,0.010,0.70,-0.04,,0.005,0.71,-0.08,,0.010,0.71,0.00,,0.010,0.71,0.00,,0.010,0.71,-0.04,,0.010,0.70,-0.37,,0.010,0.66,0.12,
0.56,1.35,3.910,,0.005730,1.000000E-6,1.624,0.002,0.0095459,8.000000E-6,7,0.020,0.14,27.28,3175.08,0.020,0.13,33.93,1813.31,0.020,0.70,-0.01,1.90,0.020,0.71,0.10,1.92,0.010,0.71,0.02,10.41,0.020,0.71,0.00,0.43,0.020,0.71,0.01,0.51,0.020,0.70,-0.03,2.24,0.020,0.70,-0.12,27.83,0.020,0.66,0.04,-4.44
0.56,1.35,3.350,,0.005612,1.000000E-6,1.646,0.002,0.0092057,8.000000E-6,6,0.030,0.70,28.37,-1360.60,0.030,0.84,1.16,-3438.80,0.030,0.70,0.01,1.04,0.030,0.71,0.00,-5.18,0.015,0.71,0.02,-1.72,0.030,0.71,0.01,0.52,0.030,0.71,0.01,2.31,0.030,0.70,0.01,2.16,0.030,0.70,0.19,13.65,0.030,0.66,0.03,-0.94
0.56,1.35,3.350,,0.006064,1.000000E-6,1.644,0.002,0.0093557,8.000000E-6,6,0.040,0.70,0.07,-1415.61,0.040,0.16,-34.85,1308.63,0.040,0.70,0.01,-0.09,0.040,0.71,0.00,0.00,0.020,0.71,0.00,-3.84,0.040,0.71,0.01,-2.78E-13,0.040,0.71,0.05,4.75,0.040,0.71,0.01,-0.43,0.040,0.70,0.15,-2.73,0.040,0.66,0.02,-0.51
0.56,1.35,2.790,,0.005420,1.000000E-6,1.658,0.002,0.0093008,8.000000E-6,5,0.050,0.70,0.06,-3.62,0.050,0.14,27.34,3153.34,0.050,0.70,0.01,0.43,0.050,0.71,0.00,0.00,0.025,0.71,-0.01,3.44,0.050,0.71,0.01,0.09,0.050,0.71,0.10,0.37,0.050,0.71,0.00,-0.52,0.050,0.70,0.13,-7.14,0.050,0.66,0.02,2.78E-13
0.56,1.35,2.790,,,,,,,,5,0.060,0.70,0.00,-3.11,0.060,0.70,28.22,-1369.20,0.060,0.70,0.02,0.69,0.060,0.71,0.00,-0.09,0.030,0.71,0.03,6.26,0.060,0.71,0.01,-0.43,0.060,0.71,0.06,-4.65,0.060,0.71,0.00,0.00,0.060,0.71,0.01,-6.64,0.060,0.66,0.02,-0.08
0.56,1.34,2.240,,,,,,,,4,0.070,0.70,0.00,0.00,0.070,0.70,-0.05,-1411.83,0.070,0.70,0.02,-0.86,0.070,0.71,0.00,0.43,0.035,0.71,0.05,-4.15,0.070,0.71,0.00,-0.52,0.070,0.71,0.01,-3.02,0.070,0.71,0.00,0.00,0.070,0.71,0.00,-0.52,0.070,0.66,0.02,0.43
0.56,1.34,2.240,,,,,,,,4,0.080,0.70,0.00,0.00,0.080,0.70,-0.02,1.98,0.080,0.70,0.00,-1.47,0.080,0.70,0.01,0.61,0.040,0.71,-0.01,-3.13,0.080,0.71,0.00,0.00,0.080,0.71,0.00,-0.52,0.080,0.71,0.00,0.00,0.080,0.71,0.00,0.00,0.080,0.66,0.03,0.59
