0.16,1.266,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18,Run #18,,,,
0.17,0.8546,Amplitude (cm),Time Delay (s),?? (1/s),Peak to Peak Amplitude (cm),Net Amplitude (cm),Time of Peak 40% (s),Peak Height 40% (cm),ln(Peak Height 40%) (cm),Time of Undamped Peak (s),Undamped Peak Height (cm),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),,,,
0.18,0.4222,56.1,0.352,6.48,10.8453,5.42,0,520,4,7925,,0,0,6,67,0,6.0067,,,0.001,0,-4.538,,,0.002,0,-3.4114,,,0.006,0,0.4866,,,0.083,0,1.2934,,,-0.002,0,1.3915,,,0.006,0,1.6149,,,0.01,0,1.2503,,,0.002,0,3.4164,,,0.01,0,-0.6068,,,0.01,0,-0.8944,,,0.002,0,-0.2349,,,-0.003,0,0.0049,,,0.003,0,-0.7284,,,5.44,0,-1.34,,,-0.004,0,-0.1541,,,0.005,0,1.3055,,,-0.004
0.19,-0.0037,51,0.442,7.22,3.1492,1.57,1,500,3,5622,,0,930,5,7318,0.01,5.8367,-17.86,,3.87E-04,0.01,-4.5766,-1.84,,-0.003,0.002,,,,0.002,0.002,,,,-0.005,0.002,,,,-0.004,0.002,,,,0.01,0.002,,,,0.003,0.002,,,,0.003,0.002,,,,0.006,0.002,,,,0.005,0.002,,,,-2.10E-04,0.002,,,,-0.004,0.002,,,,0.01,0.002,,,,2.202,0.002,,,,0.003,0.002,,,,0.01,0.002,,,,-0.003
0.2,-0.2802,,0.46,7.48,2.8224,1.41,2,480,2,8570,,1,890,5,3169,0.02,5.6495,-19.69,-134.44,-0.003,0.02,-4.5748,11.18,682.57,0.002,0.004,,,,-5.40E-04,0.004,,,,0.002,0.004,,,,0.002,0.004,,,,0.003,0.004,,,,0.002,0.004,,,,-0.005,0.004,,,,0.002,0.004,,,,0.002,0.004,,,,-0.005,0.004,,,,0.002,0.004,,,,0.006,0.004,,,,0.003,0.004,,,,0.002,0.004,,,,0.003,0.004,,,,0.002
0.21,-0.7298,,0.128,4.49,2.974,1.49,3,450,2,2721,,2,860,4,9213,0.03,5.4429,-20.55,-75.87,0.002,0.03,-4.353,11.81,-401.15,-0.001,0.006,,,,-0.005,0.006,,,,0.003,0.006,,,,0.003,0.006,,,,0.002,0.006,,,,8.15E-04,0.006,,,,-0.002,0.006,,,,0.002,0.006,,,,0.002,0.006,,,,6.32E-04,0.006,,,,0.003,0.006,,,,0.002,0.006,,,,-0.002,0.006,,,,0.008,0.006,,,,0.002,0.006,,,,0.002
0.22,-1.1603,,0.144,5.93,5.5746,2.79,4,440,1,8438,,3,830,4,6976,0.04,5.2385,-21.2,-162,-0.003,0.04,-4.3386,3.16,-257.18,-0.002,0.008,,,,0.001,0.008,,,,0.005,0.008,,,,0.006,0.008,,,,8.64E-04,0.008,,,,-0.006,0.008,,,,0.002,0.008,,,,-0.004,0.008,,,,-0.005,0.008,,,,0.002,0.008,,,,0.006,0.008,,,,0.002,0.008,,,,-0.006,0.008,,,,0.009,0.008,,,,2.91E-04,0.008,,,,0.007
0.23,-1.5926,,0.148,5.46,3.5276,1.76,5,420,1,5325,,4,800,4,5277,0.05,5.0188,-23.79,-268.71,0.001,0.05,-4.2899,6.67,325.76,0.002,0.01,-3.35,10.44,,0.002,0.01,0.43,-2.99,,0.011,0.01,1.2556,-1.97,,0.01,0.01,1.4002,5.17,,-0.006,0.01,1.2624,-21.15,,-2.71E-04,0.01,1.1113,-3.51,,0.003,0.01,3.3042,-6.38,,-0.003,0.01,-0.5568,5.86,,-0.003,0.01,-0.8976,1.4,,0.005,0.01,-0.1162,12.73,,0.009,0.01,-0.05,-3.68,,-0.005,0.01,-0.8552,-8.84,,0.002,0.01,-1.1744,20.15,,0.002,0.01,-0.3483,-16.67,,-0.006,0.01,1.3193,3.27,,0.009
0.24,-2.0042,,0.172,5.82,4.644,2.32,6,380,1,3089,,5,760,4,4589,0.06,4.7627,-26.58,-172.52,3.78E-04,0.06,-4.2053,9.67,49.89,-0.003,0.012,,,,0.004,0.012,,,,0.004,0.012,,,,0.003,0.012,,,,-6.62E-04,0.012,,,,0.003,0.012,,,,0.008,0.012,,,,0.003,0.012,,,,0.003,0.012,,,,0.01,0.012,,,,0.003,0.012,,,,-0.003,0.012,,,,0.003,0.012,,,,0.002,0.012,,,,2.30E-04,0.012,,,,0.002
0.25,-2.4381,,0.46,7.85,1.8592,0.93,7,370,0,9305,,6,730,4,1624,0.07,4.4873,-27.24,-162.27,-0.003,0.07,-4.0965,7.66,-676.58,0.002,0.014,,,,0.01,0.014,,,,0.003,0.014,,,,0.003,0.014,,,,0.002,0.014,,,,0.003,0.014,,,,0.008,0.014,,,,0.002,0.014,,,,0.002,0.014,,,,0.005,0.014,,,,0.002,0.014,,,,0.002,0.014,,,,0.006,0.014,,,,-0.001,0.014,,,,0.002,0.014,,,,0.002
0.26,-2.8341,,0.166,5.71,4.5424,2.27,8,280,0,9116,,7,700,3,8700,0.08,4.2179,-29.82,-268.62,0.002,0.08,-4.0521,-3.86,225.95,-0.001,0.016,,,,0.005,0.016,,,,0.001,0.016,,,,6.57E-04,0.016,,,,0.004,0.016,,,,0.01,0.016,,,,0.002,0.016,,,,0.007,0.016,,,,0.008,0.016,,,,0.003,0.016,,,,-4.42E-04,0.016,,,,0.002,0.016,,,,0.01,0.016,,,,-0.005,0.016,,,,0.003,0.016,,,,-0.001
0.27,-3.2318,,0.432,6.54,8.204,4.1,9,320,0,6209,,8,670,3,7172,0.09,3.8908,-32.61,-177.56,-0.003,0.09,-4.1737,12.18,1299.41,-0.002,0.018,,,,0.002,0.018,,,,-0.005,0.018,,,,-0.005,0.018,,,,0.01,0.018,,,,0.006,0.018,,,,0.002,0.018,,,,0.009,0.018,,,,0.008,0.018,,,,0.002,0.018,,,,-0.006,0.018,,,,0.008,0.018,,,,0.003,0.018,,,,0.002,0.018,,,,0.01,0.018,,,,-0.006
0.28,-3.6123,,0.454,6.9,5.8136,2.91,10,300,0,5349,,9,630,3,5776,0.1,3.5657,-33.38,-119.55,0.001,0.1,-3.8084,22.13,96.89,0.002,0.02,-3.2026,18.59,1153.71,0.002,0.02,0.4267,1.64,278.67,-8.69E-04,0.02,1.2539,0.18,494.21,2.17E-04,0.02,1.4948,14.87,381.99,0.006,0.02,1.1919,-6.7,1083.73,0.002,0.02,1.18,6.71,558.77,-0.003,0.02,3.2888,-2.4,108.51,0.002,0.02,-0.4896,7.74,89.95,0.003,0.02,-0.8664,5,273.81,-0.006,0.02,0.0197,14.37,181.8,9.99E-04,0.02,-0.0688,-0.86,137.17,0.008,0.02,-0.9053,-6.02,137.04,0.002,0.02,-0.937,24.82,796.83,0.002,0.02,-0.4876,-13.39,410.41,0.005,0.02,1.3709,5.16,94.47,0.001
0.29,-3.9755,,0.12,4.62,2.4096,1.2,11,260,0,5693,,10,580,3,3983,0.11,3.2233,-35,-215.58,3.63E-04,0.11,-3.7311,14.12,-673.61,-0.003,0.022,,,,-0.005,0.022,,,,0.003,0.022,,,,0.003,0.022,,,,0.002,0.022,,,,0.002,0.022,,,,-0.004,0.022,,,,0.002,0.022,,,,0.002,0.022,,,,-0.002,0.022,,,,0.002,0.022,,,,0.003,0.022,,,,4.49E-04,0.022,,,,0.005,0.022,,,,0.002,0.022,,,,0.002
0.3,-4.3214,,,,,,12,240,0,3973,,11,590,3,1343,0.12,2.8656,-37.69,-225.36,-0.003,0.12,-3.526,8.66,206.84,0.002,0.024,,,,-0.001,0.024,,,,0.003,0.024,,,,0.003,0.024,,,,0.002,0.024,,,,-0.005,0.024,,,,0.002,0.024,,,,-9.42E-04,0.024,,,,-0.002,0.024,,,,0.003,0.024,,,,0.003,0.024,,,,0.002,0.024,,,,-0.006,0.024,,,,0.011,0.024,,,,0.002,0.024,,,,0.004
0.31,-4.6501,,,,,,13,250,0,3284,,12,540,2,8743,0.13,2.4696,-39.51,-138.99,0.002,0.13,-3.558,18.26,928.33,-0.001,0.026,,,,0.002,0.026,,,,0.011,0.026,,,,0.01,0.026,,,,-0.004,0.026,,,,-0.003,0.026,,,,0.002,0.026,,,,-0.005,0.026,,,,-0.004,0.026,,,,0.002,0.026,,,,0.01,0.026,,,,-0.002,0.026,,,,2.05E-04,0.026,,,,0.003,0.026,,,,-0.006,0.026,,,,0.01
0.32,-4.9615,,,,,,14,220,0,3112,,13,500,2,7711,0.14,2.0754,-40.47,-47.93,-0.003,0.14,-3.1609,27.22,53.33,-0.002,0.028,,,,0.003,0.028,,,,0.007,0.028,,,,0.006,0.028,,,,-0.003,0.028,,,,0.002,0.028,,,,0.007,0.028,,,,0.001,0.028,,,,0.002,0.028,,,,0.01,0.028,,,,0.005,0.028,,,,-0.005,0.028,,,,0.002,0.028,,,,0.002,0.028,,,,-0.003,0.028,,,,0.004
